+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
| Title                                                      | Artist                           | Votes Added | New Rating |                                                          New Votes List |
| Never Again                                                | Nickelback                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Woke Up This Morning                                       | Nickelback                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hollywood                                                  | Nickelback                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hangnail                                                   | Nickelback                       |          10 |       10.0 |                                                          10;10;10;10;10 |
| Superman's Dead                                            | Our Lady Peace                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Suck                                                       | Nine Inch Nails                  |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| The Day The World Went Away                                | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Pilgrimage                                                 | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| No, You Don't                                              | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| La Mer                                                     | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Where Is Everybody?                                        | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Demon Seed                                                 | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Bleed American                                             | Jimmy Eat World                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Followed The Waves                                         | Auf der Maur                     |          10 |       10.0 |                                                          10;10;10;10;10 |
| Chroma-matic                                               | Static X                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Electric Pulse                                             | Static X                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Tera-Fied                                                  | Static-X                         |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Pure Morning                                               | Placebo                          |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hating Hollywood                                           | Theory Of A Deadman              |       10;10 |       10.0 |                                           10;10;10;10;10;10;10;10;10;10 |
| Heresy                                                     | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Cherub Rock                                                | Smashing Pumpkins                |          10 |       10.0 |                                                          10;10;10;10;10 |
| Drift & Die                                                | Puddle Of Mudd                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hummer                                                     | Smashing Pumpkins                |          10 |       10.0 |                                                          10;10;10;10;10 |
| Rhinoceros                                                 | Smashing Pumpkins                |          10 |       10.0 |                                                          10;10;10;10;10 |
| Snail                                                      | Smashing Pumpkins                |          10 |       10.0 |                                                          10;10;10;10;10 |
| Never Change                                               | Puddle Of Mudd                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Said                                                       | Puddle Of Mudd                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Champagne Supernova                                        | Oasis                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Given Up                                                   | Linkin Park                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Love-Hate-Sex-Pain                                         | Godsmack                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Morning Glory                                              | Oasis                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Can You Feel My Heart                                      | Bring Me The Horizon             |          10 |       10.0 |                                                          10;10;10;10;10 |
| No Excuses                                                 | Alice In Chains                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| People Of The Sun                                          | Rage Against The Machine         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Testify                                                    | Rage Against The Machine         |          10 |       10.0 |                                                          10;10;10;10;10 |
| The Ghost Of Tom Joad                                      | Rage Against The Machine         |          10 |       10.0 |                                                          10;10;10;10;10 |
| I'll See You There                                         | The Chemical Brothers            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Memphis Bells                                              | Prodigy                          |          10 |       10.0 |                                                          10;10;10;10;10 |
| Deep Six                                                   | Marilyn Manson                   |          10 |       10.0 |                                                          10;10;10;10;10 |
| Jawbreaker                                                 | Chevelle                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| The Annoying Song                                          | Butthole Surfers                 |          10 |       10.0 |                                                          10;10;10;10;10 |
| Hey Kid                                                    | Bad Seed Rising                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| All My Life                                                | Foo Fighters                     |          10 |       10.0 |                                                          10;10;10;10;10 |
| Times Like These                                           | Foo Fighters                     |          10 |       10.0 |                                                          10;10;10;10;10 |
| Invincible                                                 | Tool                             |          10 |       10.0 |                                                          10;10;10;10;10 |
| Jane Says (Live at Hammerstein Ballroom)                   | Jane's Addiction                 |          10 |       10.0 |                                                          10;10;10;10;10 |
| Paradise                                                   | KMFDM                            |          10 |       10.0 |                                                          10;10;10;10;10 |
| Bled For Days                                              | Static-X                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Cold                                                       | Static-X                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Terminal                                                   | Static-X                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Happiness In Slavery                                       | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Beside You In Time                                         | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
| Scarecrow                                                  | Ministry                         |          10 |       10.0 |                                                          10;10;10;10;10 |
| Mind Over Matter                                           | Slick Idiot                      |          10 |       10.0 |                                                          10;10;10;10;10 |
| Xcess                                                      | Slick Idiot                      |          10 |        9.9 |                                                     10;9;10;10;10;10;10 |
| Heresy (Blind)                                             | Nine Inch Nails                  |          10 |       10.0 |                                                          10;10;10;10;10 |
+------------------------------------------------------------+----------------------------------+-------------+------------+-------------------------------------------------------------------------+
